table_1,attr_1,table_2,attr_2
movie_companies,company_type_id,company_type,id
movie_companies,company_id,company_name,id
movie_info_idx,info_type_id,info_type,id
movie_info,info_type_id,info_type,id
person_info,info_type_id,info_type,id
movie_keyword,keyword_id,keyword,id
title,kind_id,kind_type,id
aka_title,kind_id,kind_type,id
movie_link,linked_movie_id,title,id
movie_link,link_type_id,link_type,id
aka_title,movie_id,title,id
cast_info,movie_id,title,id
complete_cast,movie_id,title,id
movie_companies,movie_id,title,id
movie_info_idx,movie_id,title,id
movie_info,movie_id,title,id
movie_link,movie_id,title,id
movie_keyword,movie_id,title,id
aka_name,person_id,name,id
cast_info,person_id,name,id
person_info,person_id,name,id
cast_info,person_role_id,char_name,id
cast_info,role_id,role_type,id
complete_cast,subject_id,comp_cast_type,id
complete_cast,status_id,comp_cast_type,id
